                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.183,                 0.8726,                0.99976,                0.96745,                0.98229,                  0.995,                0.67702,                 1.2011,                 1.4471,                 1.0489,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.2158,                0.86472,                 1.0271,                0.95651,                0.99323,                  0.995,                0.67045,                 1.2078,                 1.3197,                 1.0569,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.1925,                0.87218,                 1.0436,                0.95651,                0.99323,                  0.995,                0.67045,                 1.2078,                 1.3197,                 1.0569,               0.000359,               0.000359,               0.000359
                     38,                 1.1925,                0.83454,                 1.0095,                0.96314,                0.99586,                  0.995,                 0.6734,                 1.2161,                 1.2602,                 1.0542,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.1813,                0.85304,                 1.0147,                0.96601,                      1,                  0.995,                0.67609,                 1.2206,                 1.2175,                 1.0557,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.2081,                0.83996,                 1.0068,                0.96379,                      1,                  0.995,                0.67224,                 1.2194,                 1.1457,                 1.0645,             0.00028475,             0.00028475,             0.00028475
                     41,                 1.2455,                 1.0071,                 1.0461,                0.96379,                      1,                  0.995,                0.67224,                 1.2194,                 1.1457,                 1.0645,                0.00026,                0.00026,                0.00026
                     42,                 1.2107,                0.92944,                 1.0581,                0.96159,                0.99607,                  0.995,                0.66289,                  1.218,                 1.0974,                 1.0693,             0.00023525,             0.00023525,             0.00023525
                     43,                 1.2081,                0.90613,                 1.0585,                 0.9597,                      1,                  0.995,                0.66778,                 1.2022,                 1.1131,                 1.0679,              0.0002105,              0.0002105,              0.0002105
                     44,                 1.2364,                0.92564,                 1.0354,                0.96704,                0.99324,                  0.995,                0.66455,                 1.1926,                 1.0997,                 1.0667,             0.00018575,             0.00018575,             0.00018575
                     45,                 1.1749,                0.88488,                 1.0342,                0.96704,                0.99324,                  0.995,                0.66455,                 1.1926,                 1.0997,                 1.0667,               0.000161,               0.000161,               0.000161
                     46,                 1.1866,                0.88004,                 1.0628,                0.96557,                0.99345,                  0.995,                0.66765,                 1.1901,                  1.036,                 1.0718,             0.00013625,             0.00013625,             0.00013625
                     47,                 1.1819,                0.88928,                 1.0361,                0.96876,                 0.9929,                  0.995,                0.66517,                 1.1839,                0.95725,                  1.068,              0.0001115,              0.0001115,              0.0001115
                     48,                 1.1779,                0.87243,                 1.0332,                0.97883,                0.98622,                  0.995,                0.66598,                 1.1881,                 0.8963,                 1.0673,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                 1.1694,                0.85626,                 1.0341,                0.97883,                0.98622,                  0.995,                0.66598,                 1.1881,                 0.8963,                 1.0673,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 1.1908,                0.85179,                 1.0432,                0.98158,                0.98552,                  0.995,                0.66066,                   1.19,                0.85545,                 1.0677,              3.725e-05,              3.725e-05,              3.725e-05
