                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7118,                0.76218,                0.92547,                0.99051,                0.99557,                0.99301,                0.56672,                 1.5614,                0.69783,                0.86345,             0.00027222,             0.00027222,             0.00027222
                     36,                 1.6972,                0.75872,                 0.9204,                0.99179,                0.99466,                0.99326,                0.58862,                 1.5069,                0.65579,                0.85914,             0.00025573,             0.00025573,             0.00025573
                     37,                 1.6946,                  0.751,                0.91972,                0.99267,                0.99581,                0.99383,                0.58978,                 1.5222,                0.66619,                 0.8588,             0.00023924,             0.00023924,             0.00023924
                     38,                 1.6811,                0.73784,                0.91929,                0.99343,                0.99701,                0.99415,                0.58367,                 1.5235,                 0.6558,                 0.8579,             0.00022274,             0.00022274,             0.00022274
                     39,                 1.6885,                0.74846,                0.92422,                0.99261,                0.99581,                0.99428,                0.57643,                   1.57,                0.68495,                0.86265,             0.00020625,             0.00020625,             0.00020625
                     40,                 1.6725,                0.73129,                0.91612,                0.98199,                 0.9884,                0.98668,                0.56569,                 1.6217,                0.70148,                0.87308,             0.00018976,             0.00018976,             0.00018976
                     41,                 1.6649,                0.75526,                0.91467,                0.98906,                 0.9921,                0.99138,                0.55983,                 1.5761,                0.67668,                0.86365,             0.00017326,             0.00017326,             0.00017326
                     42,                 1.6527,                0.73278,                0.91935,                0.99194,                0.99549,                0.99361,                0.58291,                 1.5399,                0.65982,                0.85659,             0.00015677,             0.00015677,             0.00015677
                     43,                 1.6522,                 0.7197,                0.91662,                0.99183,                0.99591,                0.99426,                0.56891,                 1.5533,                0.67084,                0.86256,             0.00014028,             0.00014028,             0.00014028
                     44,                 1.6382,                0.71477,                 0.9205,                0.98976,                0.99729,                0.99451,                0.56342,                  1.593,                0.67774,                0.86641,             0.00012378,             0.00012378,             0.00012378
                     45,                 1.6413,                0.72043,                0.91523,                0.99225,                0.99836,                0.99427,                0.55632,                 1.6052,                0.68061,                0.86901,             0.00010729,             0.00010729,             0.00010729
                     46,                 1.6181,                0.70376,                 0.9106,                0.99217,                0.99346,                0.99285,                0.55054,                 1.6036,                 0.6729,                0.86892,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                 1.6125,                0.69872,                0.91089,                0.98934,                 0.9963,                0.99303,                0.57118,                 1.5697,                0.65818,                0.86431,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                 1.5935,                0.69233,                0.90422,                0.99017,                0.99801,                0.99395,                0.56746,                 1.5815,                0.66325,                0.86573,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                 1.5954,                0.68145,                0.90988,                0.99078,                0.99836,                0.99417,                 0.5681,                 1.5737,                0.64908,                0.86521,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     50,                 1.5781,                0.67655,                0.90512,                0.98968,                0.99672,                0.99317,                0.57935,                 1.5539,                0.64441,                0.86234,             2.4823e-05,             2.4823e-05,             2.4823e-05
